aX,aY,aZ,gX,gY,gZ
0.108,0.829,-0.209,-51.514,-74.158,-60.486
0.104,0.793,-0.185,-46.936,-83.008,-58.899
0.104,0.786,-0.181,-44.434,-91.003,-58.716
0.120,0.764,-0.134,-42.603,-98.145,-58.960
0.159,0.746,-0.081,-40.894,-105.347,-58.044
0.175,0.797,-0.018,-30.945,-113.220,-55.847
0.233,0.550,0.379,-28.015,-119.995,-52.551
0.247,0.913,0.320,-7.812,-113.403,-45.715
0.086,0.534,0.911,2.747,-94.299,-46.509
0.038,0.343,1.490,-10.559,-74.158,-38.025
-0.001,0.501,1.709,-9.888,-46.448,-27.832
-0.072,0.536,1.932,-9.216,-24.109,-27.283
0.322,0.483,-0.242,-13.794,-95.215,-3.479
0.322,0.582,-0.087,-9.766,-105.957,-2.502
0.479,0.396,0.807,-34.912,-104.492,0.061
0.633,0.595,1.438,-48.767,-61.279,22.461
0.547,0.522,-0.478,-12.573,35.522,-11.292
0.539,0.494,-0.536,-2.014,20.081,-9.705
0.502,0.523,-0.511,4.700,1.465,-9.216
0.467,0.549,-0.320,13.550,-18.982,-8.057
0.512,0.593,-0.298,25.696,-36.499,-5.676
0.493,0.644,-0.389,40.771,-52.612,-2.991
0.426,0.641,-0.402,48.645,-71.594,-0.854
0.419,0.618,-0.288,49.683,-91.370,2.930
0.450,0.570,-0.165,45.471,-106.812,7.568
0.490,0.576,-0.228,41.626,-120.361,10.742
0.477,0.592,-0.118,25.269,-131.836,10.864
0.504,0.547,0.202,-3.540,-137.146,9.216
0.636,0.513,0.613,-29.968,-129.761,12.634
0.428,0.608,0.698,-19.897,-114.441,17.212
0.195,0.611,0.759,2.258,-112.366,8.789
0.249,0.501,0.944,-14.465,-115.112,3.418
0.442,0.612,1.053,-6.226,-110.474,6.958
0.335,0.674,1.233,16.846,-93.323,6.836
0.307,0.439,1.737,8.728,-67.627,5.737
0.423,0.299,1.810,15.259,-50.049,12.329
0.438,0.326,1.746,20.142,-39.063,17.395
0.472,0.509,1.742,12.207,-19.165,18.738
0.501,0.513,1.675,4.639,-1.953,15.930
0.589,0.504,1.546,-1.404,8.789,11.963
0.641,0.641,1.293,3.052,21.240,10.437
0.636,0.748,1.159,6.958,32.593,8.118
0.664,0.734,1.028,5.249,41.016,3.967
0.682,0.670,0.991,6.714,47.241,0.854
0.683,0.560,0.977,5.371,55.298,-1.892
0.679,0.427,0.952,-3.357,62.195,-3.540
0.672,0.377,0.900,-16.418,68.909,-4.578
0.646,0.512,0.771,-27.222,76.050,-7.507
0.529,0.676,0.392,-32.288,79.102,-15.320
0.319,0.717,0.690,-59.326,83.191,-24.109
0.260,0.540,0.908,-60.120,93.018,-23.560
0.347,0.438,0.839,-41.321,97.168,-16.968
0.460,0.553,0.482,-19.653,97.778,-10.681
0.386,0.823,0.082,-10.132,97.412,-12.024
0.201,0.681,0.447,-17.151,101.990,-17.822
0.232,0.601,-0.200,15.686,91.797,-10.498
0.147,0.923,-0.166,20.081,80.627,-12.024
0.304,0.895,-0.315,19.958,68.604,-17.883
0.462,0.762,-0.604,43.884,42.236,-15.442
0.557,0.647,-0.684,46.692,24.414,-13.123
0.583,0.605,-0.595,39.124,7.874,-11.475
0.571,0.572,-0.339,35.461,-10.620,-10.620
0.607,0.490,-0.157,32.349,-27.527,-10.315
0.654,0.432,-0.104,33.020,-38.025,-8.118
0.532,0.532,-0.218,33.325,-49.500,-6.104
0.467,0.518,-0.200,24.048,-66.650,-5.310
0.427,0.524,-0.143,20.874,-82.642,-0.793
0.453,0.479,-0.102,18.311,-96.680,1.038
0.466,0.548,-0.148,16.052,-112.122,2.563
0.467,0.611,-0.057,6.042,-123.962,3.479
0.549,0.506,0.420,-13.977,-126.587,5.127
0.619,0.328,0.901,-51.941,-102.417,21.545
0.421,0.497,0.827,-14.282,-86.792,29.480
0.210,0.454,0.780,-12.390,-90.027,15.442
0.235,0.496,0.662,-31.189,-102.966,2.075
0.404,0.453,0.898,-30.029,-107.361,4.944
0.475,0.665,0.875,-11.902,-96.741,9.216
0.348,0.470,1.520,-7.202,-74.890,7.690
0.460,0.296,1.808,-9.949,-53.406,14.221
0.476,0.307,1.751,15.808,-44.800,24.475
0.485,0.479,1.775,15.442,-29.846,25.452
0.499,0.585,1.759,16.663,-10.620,21.667
0.554,0.559,1.657,15.564,1.709,16.602
0.644,0.629,1.472,14.160,14.526,13.977
0.663,0.766,1.227,23.193,25.757,12.268
0.627,0.733,1.234,18.311,34.607,8.667
0.645,0.668,1.175,11.475,43.396,6.165
0.674,0.624,1.120,12.817,52.185,3.662
0.690,0.549,1.001,7.629,61.218,0.122
0.699,0.497,0.925,-1.648,67.749,-3.479
0.684,0.507,0.934,-12.756,74.402,-7.690
0.644,0.616,0.833,-19.226,82.275,-13.611
0.551,0.851,0.280,-17.700,84.229,-21.240
0.286,0.592,0.782,-52.124,85.205,-31.799
0.282,0.419,0.883,-63.660,93.628,-26.855
0.388,0.431,0.690,-38.574,96.680,-18.921
0.485,0.679,0.277,-30.762,96.252,-17.090
0.265,0.847,0.312,-28.442,95.764,-23.926
0.170,0.546,0.309,-21.484,98.938,-24.841
0.131,0.687,-0.018,15.381,87.524,-14.893
0.096,0.878,-0.019,26.001,80.139,-16.479
0.287,0.807,-0.177,36.072,66.162,-19.104
