aX,aY,aZ,gX,gY,gZ
-0.102,-0.856,0.072,-339.233,52.307,29.480
-0.290,-0.582,-0.007,-308.411,34.790,39.246
-0.444,-0.221,0.121,-279.907,17.151,38.391
-0.543,0.031,0.211,-267.029,8.362,40.039
-0.604,0.223,0.292,-270.691,1.648,49.683
-0.693,0.476,0.190,-266.785,-10.010,56.702
-0.799,0.806,0.098,-257.996,-21.912,52.551
-0.887,1.056,0.072,-245.972,-27.466,42.542
-0.866,1.169,0.053,-228.333,-28.748,34.180
-0.710,1.300,0.199,-205.261,-17.944,27.466
-0.687,1.257,0.267,-173.279,-2.930,15.198
-0.631,1.200,0.316,-145.325,7.019,13.367
-0.599,1.121,0.356,-121.399,12.817,11.719
-0.542,1.070,0.372,-99.731,17.029,9.155
-0.504,1.023,0.375,-79.407,18.250,7.324
-0.491,1.023,0.386,-59.143,17.334,5.554
-0.492,1.017,0.384,-36.926,14.832,5.066
-0.487,0.959,0.409,-12.878,13.184,6.897
-0.496,0.975,0.431,8.667,8.606,6.775
-0.510,1.023,0.435,30.090,2.380,3.540
-0.523,1.121,0.399,51.758,-0.488,-0.671
-0.541,1.306,0.335,79.224,-0.305,-8.423
-0.543,1.427,0.263,114.014,1.404,-19.653
-0.497,1.459,0.187,154.541,1.953,-31.494
-0.468,1.462,0.126,208.496,-1.282,-41.626
-0.439,1.414,0.090,249.817,-7.629,-51.208
-0.424,1.321,0.050,291.870,-17.090,-57.983
-0.439,1.156,0.056,328.308,-29.968,-64.392
-0.410,0.947,0.060,359.253,-46.875,-69.275
-0.412,0.797,0.080,399.048,-63.965,-69.885
-0.468,0.418,0.125,429.504,-80.261,-70.068
-0.497,0.168,0.105,446.533,-94.116,-60.303
-0.550,-0.174,0.307,448.669,-106.506,-45.471
-0.588,-0.415,0.390,460.388,-111.145,-25.391
-0.657,-0.783,0.497,464.966,-105.835,-6.042
-0.617,-1.307,0.617,428.406,-93.201,19.287
-0.559,-1.729,0.797,386.597,-69.824,47.791
-0.614,-1.836,0.913,306.763,-40.771,70.374
-0.675,-1.516,0.921,209.656,-12.512,73.547
-0.613,-0.952,0.852,140.076,10.254,55.359
-0.575,-0.434,0.785,86.670,25.208,35.828
-0.482,-0.075,0.766,53.589,26.550,22.461
-0.463,0.038,0.830,40.283,22.400,12.085
-0.481,0.152,0.900,51.025,18.066,5.432
-0.482,0.161,0.894,71.411,14.343,0.244
-0.483,0.065,1.014,78.979,9.277,-2.258
-0.450,-0.006,1.045,75.928,7.568,-0.793
-0.439,-0.035,1.010,80.383,3.418,3.174
-0.426,-0.026,0.898,69.397,1.587,2.991
-0.416,0.016,0.827,56.519,1.404,0.244
-0.415,0.021,0.789,43.945,2.075,-3.906
-0.428,-0.049,0.772,36.011,1.282,-7.324
-0.443,-0.165,0.782,34.241,-2.136,-9.338
-0.488,-0.282,0.820,31.433,-5.188,-8.057
-0.531,-0.352,0.774,25.146,-4.578,-6.592
-0.540,-0.376,0.705,20.996,-3.418,-6.531
-0.536,-0.402,0.701,16.235,-5.127,-6.226
-0.530,-0.460,0.748,9.277,-7.263,-4.883
-0.538,-0.490,0.810,2.075,-7.874,-3.540
-0.551,-0.506,0.864,-7.080,-6.836,-2.319
-0.545,-0.536,0.920,-20.142,-4.822,-0.732
-0.530,-0.531,0.916,-37.476,-2.869,2.014
-0.531,-0.500,0.916,-54.688,-1.709,4.822
-0.521,-0.462,0.919,-70.923,-0.916,6.836
-0.506,-0.433,0.906,-90.332,0.732,7.629
-0.521,-0.420,0.895,-112.122,1.465,8.423
-0.518,-0.380,0.912,-131.104,1.404,10.071
-0.524,-0.372,0.951,-150.146,1.648,10.254
-0.584,-0.362,1.043,-176.025,4.456,9.521
-0.658,-0.270,1.113,-204.224,9.583,7.935
-0.707,-0.188,1.146,-231.018,16.113,3.601
-0.743,-0.078,1.269,-259.094,24.475,-3.296
-0.678,0.053,1.425,-280.334,33.875,-12.878
-0.589,0.116,1.382,-294.006,45.959,-21.362
-0.511,0.184,1.401,-287.476,50.293,-18.066
-0.372,0.029,1.139,-281.982,51.514,-6.775
-0.324,0.051,0.959,-270.813,50.598,-0.061
-0.154,0.027,0.882,-252.747,47.668,-1.526
-0.149,-0.232,0.569,-237.488,46.448,8.057
-0.292,-0.296,0.253,-227.234,28.015,14.954
-0.266,-0.184,0.207,-200.562,16.113,15.991
-0.339,-0.016,0.244,-172.729,9.766,16.907
-0.480,0.030,0.231,-152.588,-2.380,16.113
-0.549,0.043,0.312,-148.315,-11.169,18.860
-0.584,0.321,0.437,-143.188,-11.597,24.475
-0.625,0.531,0.523,-137.024,-8.301,24.109
-0.605,0.605,0.620,-130.371,-4.211,18.982
-0.544,0.530,0.634,-119.385,5.005,19.592
-0.525,0.470,0.584,-119.568,9.521,21.057
-0.517,0.542,0.517,-125.916,10.559,20.081
-0.527,0.748,0.420,-126.343,10.498,17.883
-0.561,0.917,0.403,-114.807,8.728,13.306
-0.551,0.984,0.371,-91.492,9.949,8.972
-0.520,1.096,0.352,-63.843,12.085,5.127
-0.503,1.261,0.358,-28.320,12.268,0.183
-0.489,1.363,0.366,13.733,12.085,-4.272
-0.496,1.378,0.374,60.913,10.132,-9.460
-0.488,1.311,0.362,104.675,7.019,-16.418
-0.464,1.226,0.332,142.090,2.014,-23.254
-0.450,1.175,0.285,184.753,-6.165,-30.640
-0.414,1.119,0.222,219.543,-15.991,-39.856
-0.376,1.129,0.143,249.390,-24.841,-47.974
-0.375,1.131,0.121,294.434,-35.522,-55.420
-0.356,1.054,0.061,345.947,-48.157,-62.195
-0.364,0.813,0.041,382.507,-64.819,-65.125
-0.398,0.391,0.063,395.325,-86.304,-61.462
-0.443,0.110,0.181,409.790,-103.943,-52.368
-0.509,-0.418,0.231,424.927,-115.784,-37.903
-0.539,-0.849,0.363,460.937,-113.770,-6.165
-0.565,-1.218,0.518,476.318,-100.159,19.348
-0.572,-1.531,0.728,453.613,-78.674,37.659
-0.506,-1.843,0.903,379.150,-50.781,57.190
-0.450,-2.022,1.037,269.897,-18.921,77.820
-0.883,-1.657,0.959,153.137,8.118,91.125
-0.795,-1.052,0.676,53.711,11.780,63.293

-0.866,1.169,0.053,-228.333,-28.748,34.180
-0.710,1.300,0.199,-205.261,-17.944,27.466
-0.687,1.257,0.267,-173.279,-2.930,15.198
-0.631,1.200,0.316,-145.325,7.019,13.367
-0.599,1.121,0.356,-121.399,12.817,11.719
-0.542,1.070,0.372,-99.731,17.029,9.155
-0.504,1.023,0.375,-79.407,18.250,7.324
-0.491,1.023,0.386,-59.143,17.334,5.554
-0.492,1.017,0.384,-36.926,14.832,5.066
-0.487,0.959,0.409,-12.878,13.184,6.897
-0.496,0.975,0.431,8.667,8.606,6.775
-0.510,1.023,0.435,30.090,2.380,3.540
-0.523,1.121,0.399,51.758,-0.488,-0.671
-0.541,1.306,0.335,79.224,-0.305,-8.423
-0.543,1.427,0.263,114.014,1.404,-19.653
-0.497,1.459,0.187,154.541,1.953,-31.494
-0.468,1.462,0.126,208.496,-1.282,-41.626
-0.439,1.414,0.090,249.817,-7.629,-51.208
-0.424,1.321,0.050,291.870,-17.090,-57.983
-0.439,1.156,0.056,328.308,-29.968,-64.392
-0.410,0.947,0.060,359.253,-46.875,-69.275
-0.412,0.797,0.080,399.048,-63.965,-69.885
-0.468,0.418,0.125,429.504,-80.261,-70.068
-0.497,0.168,0.105,446.533,-94.116,-60.303
-0.550,-0.174,0.307,448.669,-106.506,-45.471
-0.588,-0.415,0.390,460.388,-111.145,-25.391
-0.657,-0.783,0.497,464.966,-105.835,-6.042
-0.617,-1.307,0.617,428.406,-93.201,19.287
-0.633,-0.163,0.840,-59.937,-19.653,4.883
-0.651,-0.200,0.969,-68.909,-16.663,7.874
-0.641,-0.175,1.111,-82.275,-9.399,8.545
-0.628,-0.037,1.209,-100.098,-2.136,7.507
-0.573,-0.030,1.386,-116.150,4.211,5.371
-0.573,-0.121,1.388,-142.822,6.836,4.517
-0.620,-0.057,1.348,-161.316,3.174,7.141
-0.629,0.016,1.298,-166.992,3.357,9.644
-0.563,0.201,1.195,-184.937,10.132,4.883
-0.492,0.456,1.068,-193.665,19.226,-5.371
-0.466,0.543,1.103,-213.562,26.428,-12.695
-0.504,0.535,1.315,-221.375,30.640,-16.785
-0.519,0.304,1.537,-196.411,40.955,-21.912
-0.483,0.008,1.677,-181.824,58.289,-25.208
-0.370,-0.442,1.440,-186.707,72.144,-20.386
-0.173,-1.049,1.071,-214.233,77.515,-5.920
-0.153,-1.304,0.506,-246.582,75.378,16.541
-0.082,-1.259,0.085,-272.583,64.453,33.386
-0.270,-1.085,-0.187,-294.800,50.293,50.232
-0.459,-0.695,-0.125,-322.083,27.405,60.852
-0.668,-0.226,-0.065,-332.947,8.972,55.054
-0.804,0.330,-0.009,-323.853,-3.784,41.809
-0.822,0.610,0.080,-291.382,-7.446,33.691
-0.827,0.744,0.130,-263.855,-3.540,34.790
-0.826,0.951,0.087,-243.958,2.869,34.485
-0.762,1.107,0.059,-219.543,8.850,33.264
-0.740,1.269,0.039,-192.017,7.568,25.757
-0.706,1.329,0.012,-162.170,5.676,16.174
-0.632,1.320,0.030,-130.127,6.165,7.446
-0.553,1.273,0.100,-98.328,10.376,3.357
-0.493,1.209,0.162,-67.627,13.428,3.174
-0.465,1.216,0.200,-39.978,13.000,3.296
-0.454,1.172,0.244,-10.376,10.559,3.113
-0.452,1.108,0.299,17.029,8.484,2.441
-0.421,1.053,0.333,38.513,6.287,1.343
-0.404,1.027,0.397,52.185,3.906,0.488
-0.399,1.086,0.448,67.383,-1.526,-2.808
-0.418,1.144,0.444,89.417,-7.324,-7.263
-0.435,1.193,0.449,113.892,-9.277,-13.672
-0.453,1.204,0.460,136.536,-9.583,-20.935
-0.496,1.157,0.444,160.828,-11.536,-27.344
-0.515,1.135,0.417,191.406,-13.367,-32.959
-0.539,1.056,0.384,213.135,-14.832,-39.917
-0.558,1.003,0.359,231.873,-18.127,-48.035
-0.558,0.931,0.314,249.023,-23.560,-57.068
-0.532,0.941,0.290,264.099,-29.602,-65.735
-0.523,0.879,0.276,281.738,-35.217,-74.890
-0.492,0.738,0.249,296.326,-40.100,-79.834
-0.465,0.587,0.223,317.810,-47.607,-79.285
-0.474,0.312,0.229,349.670,-58.655,-73.059
-0.453,-0.162,0.195,365.906,-68.298,-58.655
-0.470,-0.342,0.405,361.145,-78.918,-39.734
-0.468,-0.558,0.399,367.187,-82.764,-20.203
-0.461,-0.852,0.518,359.924,-80.933,-1.648
-0.477,-1.156,0.654,344.849,-73.914,17.090
-0.465,-1.283,0.720,308.105,-57.800,36.560
-0.473,-1.237,0.807,254.395,-38.635,46.997
-0.526,-1.096,0.817,183.289,-16.602,47.668
-0.538,-0.750,0.713,118.652,0.061,40.527
-0.440,-0.374,0.721,68.115,5.188,28.015
-0.412,-0.117,0.870,42.725,3.906,20.691
-0.454,-0.086,0.980,41.138,3.540,15.564
-0.493,0.034,1.117,50.842,2.380,12.878
-0.510,0.023,1.136,55.420,2.075,7.629
-0.548,-0.002,1.211,57.129,-1.221,4.333
-0.497,-0.062,1.108,51.697,-2.502,2.808
-0.490,-0.071,1.074,49.438,-3.967,3.784
-0.495,-0.057,0.973,38.513,-4.700,3.418
-0.503,-0.053,0.903,21.973,-4.089,0.549
-0.495,-0.117,0.830,1.465,-2.930,-4.028
-0.477,-0.160,0.733,-20.203,-3.479,-7.874
-0.460,-0.132,0.668,-33.386,-4.456,-10.925
-0.467,-0.088,0.689,-42.297,-5.981,-12.390
-0.482,-0.082,0.747,-48.584,-7.935,-12.329
-0.503,-0.108,0.805,-51.392,-9.888,-11.047
-0.502,-0.114,0.860,-50.781,-10.498,-8.789
-0.405,-0.143,0.833,-44.556,-12.085,-4.150
-0.440,-0.132,1.000,-56.152,-8.911,-3.296
-0.478,-0.124,1.130,-89.844,-2.258,-4.456
-0.522,-0.158,1.247,-143.738,7.751,-6.775
-0.627,-0.289,1.412,-217.651,17.151,-7.202
-0.715,-0.234,1.440,-267.090,25.574,-1.404
-0.728,-0.188,1.600,-304.016,28.870,1.770
-0.710,-0.156,1.560,-318.115,36.987,-0.916
-0.628,-0.102,1.294,-322.510,48.462,-4.639
-0.447,0.113,0.795,-308.350,51.025,-7.263
-0.242,0.451,0.436,-264.160,46.143,-12.268
-0.233,0.599,0.673,-229.858,37.781,-16.357
-0.385,0.418,1.223,-218.445,33.630,-16.907
-0.428,-0.094,1.248,-201.111,39.063,-13.062
-0.358,-0.726,1.002,-215.820,38.635,-1.770

-0.541,1.306,0.335,79.224,-0.305,-8.423
-0.543,1.427,0.263,114.014,1.404,-19.653
-0.497,1.459,0.187,154.541,1.953,-31.494
-0.468,1.462,0.126,208.496,-1.282,-41.626
-0.439,1.414,0.090,249.817,-7.629,-51.208
-0.424,1.321,0.050,291.870,-17.090,-57.983
-0.439,1.156,0.056,328.308,-29.968,-64.392
-0.410,0.947,0.060,359.253,-46.875,-69.275
-0.412,0.797,0.080,399.048,-63.965,-69.885
-0.468,0.418,0.125,429.504,-80.261,-70.068
-0.497,0.168,0.105,446.533,-94.116,-60.303
-0.550,-0.174,0.307,448.669,-106.506,-45.471
-0.588,-0.415,0.390,460.388,-111.145,-25.391
-0.657,-0.783,0.497,464.966,-105.835,-6.042
-0.617,-1.307,0.617,428.406,-93.201,19.287
-0.633,-0.163,0.840,-59.937,-19.653,4.883
-0.651,-0.200,0.969,-68.909,-16.663,7.874
-0.641,-0.175,1.111,-82.275,-9.399,8.545
-0.628,-0.037,1.209,-100.098,-2.136,7.507
-0.573,-0.030,1.386,-116.150,4.211,5.371
-0.573,-0.121,1.388,-142.822,6.836,4.517
-0.620,-0.057,1.348,-161.316,3.174,7.141
-0.629,0.016,1.298,-166.992,3.357,9.644
-0.563,0.201,1.195,-184.937,10.132,4.883
-0.492,0.456,1.068,-193.665,19.226,-5.371
-0.466,0.543,1.103,-213.562,26.428,-12.695
-0.504,0.535,1.315,-221.375,30.640,-16.785
-0.471,1.268,0.074,222.717,-7.629,-48.157
-0.382,1.292,-0.028,257.019,-14.648,-53.467
-0.382,1.209,-0.058,289.612,-23.254,-58.960
-0.352,1.043,-0.049,329.956,-32.532,-60.791
-0.321,0.782,-0.068,361.328,-47.424,-58.655
-0.277,0.642,-0.063,387.512,-64.514,-50.842
-0.293,0.387,-0.069,409.302,-82.886,-44.678
-0.352,0.031,0.157,400.330,-101.929,-37.048
