aX,aY,aZ,gX,gY,gZ
0.062,0.266,0.906,-44.983,-7.324,-79.285
0.022,0.204,1.023,-46.631,-6.470,-85.388
0.011,0.478,0.993,-43.030,-2.869,-89.844
0.048,0.422,0.849,-22.583,-2.869,-101.013
0.080,0.159,0.740,-27.893,-7.446,-112.732
0.038,-0.069,0.812,-40.405,-11.963,-117.249
-0.052,-0.018,0.898,-42.603,-13.367,-117.126
-0.037,-0.368,0.932,-39.185,-15.686,-119.263
-0.070,-0.976,0.866,-48.279,-20.142,-114.685
-0.012,-1.379,1.135,-64.575,-21.118,-94.299
0.005,-1.064,1.115,-30.762,5.371,-36.316
0.056,-1.058,1.014,-24.048,5.981,-21.240
0.110,-1.126,0.938,-26.184,5.432,0.183
0.136,-1.206,0.938,-28.931,3.784,27.954
0.050,-1.211,1.020,-30.396,5.798,-64.331
0.025,-0.519,0.831,-85.327,0.427,-90.393
-0.005,-0.615,0.852,-73.975,-0.610,-78.857
-0.031,-0.624,0.890,-57.251,-1.343,-66.406
-0.028,-0.809,0.921,-46.082,-5.371,-53.162
-0.039,-0.945,0.978,-45.166,-8.667,-34.729
-0.024,-1.017,0.906,-38.147,-8.423,-15.076
0.009,-1.157,0.865,-39.185,-9.155,2.319
0.029,-1.226,0.858,-40.710,-10.681,21.057
0.032,-1.181,0.891,-38.757,-11.536,40.649
0.000,-1.005,0.927,-30.151,-10.498,58.960
-0.048,-0.769,0.959,-15.137,-9.644,70.618
-0.082,-0.495,1.000,6.165,-8.728,78.003
-0.114,-0.254,1.050,31.067,-7.996,84.778
-0.127,-0.110,1.097,50.842,-8.545,92.529
-0.144,-0.004,1.173,60.059,-9.705,102.112
-0.150,0.109,1.045,63.843,-8.545,110.901
-0.115,-0.071,1.113,48.218,-11.780,115.723
-0.138,0.432,1.162,49.683,-8.972,117.676
-0.202,0.632,1.114,67.017,-3.540,109.009
-0.271,0.538,1.252,30.212,-7.385,94.299
-0.339,0.770,1.456,-6.653,-1.526,81.421
-0.239,1.030,1.181,8.240,7.324,63.843
-0.246,1.060,1.049,8.667,3.540,36.255
-0.194,1.037,0.978,16.174,8.423,17.578
-0.173,0.935,0.915,19.775,11.963,4.150
-0.179,0.855,0.891,13.794,10.498,-11.353
-0.169,0.837,0.904,9.155,9.033,-28.931
-0.127,0.798,0.868,13.306,9.094,-46.265
-0.090,0.595,0.878,9.399,7.263,-61.890
-0.078,0.445,0.869,6.287,6.531,-72.632
-0.053,0.208,0.877,2.441,4.272,-82.397
-0.025,0.081,0.972,-7.263,2.747,-88.684
-0.059,0.265,0.959,-0.732,5.432,-93.201
-0.079,0.248,0.826,13.062,6.653,-101.868
0.017,-0.235,0.825,-5.615,1.282,-106.445
0.050,-0.462,0.878,-23.804,-4.944,-98.694
0.003,-0.447,0.896,-25.879,-3.540,-89.600
-0.033,-0.655,0.937,-27.039,-1.953,-83.679
-0.038,-0.837,0.933,-32.532,-3.601,-73.181
-0.011,-1.067,0.952,-29.785,-4.578,-57.190
0.031,-1.307,0.960,-41.138,-3.601,-38.330
0.025,-1.156,0.937,-49.194,-3.418,-17.151
0.012,-0.982,0.817,-44.434,-1.709,-2.563
0.064,-0.971,0.775,-43.823,-3.357,13.306
0.063,-1.010,0.799,-39.429,-5.005,35.767
0.028,-0.906,0.841,-33.142,-6.714,58.472
-0.006,-0.636,0.865,-22.278,-8.057,73.242
-0.039,-0.368,0.911,-5.310,-8.606,82.092
-0.086,-0.210,0.987,11.597,-9.277,89.111
-0.141,-0.100,1.060,22.278,-9.338,97.107
-0.130,0.020,1.019,26.855,-9.094,104.309
-0.123,0.185,1.137,29.907,-8.789,106.384
-0.138,0.518,1.018,54.504,-3.906,104.797
-0.159,0.486,0.954,44.067,-5.188,97.229
-0.280,0.377,1.428,-12.451,-5.737,86.365
-0.252,0.897,1.335,-16.846,6.165,74.097
-0.281,1.136,1.086,-3.784,8.972,48.035
-0.269,1.203,1.092,-1.343,6.470,22.583
-0.196,1.186,1.037,12.085,12.817,6.470
-0.127,1.098,0.976,15.320,14.221,-9.155
-0.144,1.028,0.945,12.878,11.719,-26.306
-0.095,0.890,0.870,3.845,8.911,-42.908
-0.031,0.630,0.838,-4.822,4.395,-56.641
-0.064,0.489,0.897,-10.864,0.427,-67.017
-0.144,0.394,0.912,-8.057,-0.183,-77.881
-0.151,0.170,0.934,-9.338,-1.465,-87.830
-0.093,0.070,1.030,-18.860,-1.526,-93.506
-0.102,0.180,0.919,-11.719,0.488,-99.426
-0.048,-0.045,0.846,-11.353,0.366,-109.863
-0.019,-0.179,0.922,-34.790,-3.540,-114.746
-0.024,0.046,0.872,-32.837,-3.296,-116.028
0.048,-0.310,0.726,-16.602,-3.052,-118.835
-0.003,-0.732,0.939,-36.926,-10.071,-108.826
0.053,-0.884,0.952,-27.161,-10.803,-87.769
0.063,-1.100,1.069,-31.006,-7.507,-71.655
0.062,-1.117,1.005,-39.490,-8.057,-55.603
0.026,-1.115,1.031,-46.753,-11.536,-38.513
0.013,-1.182,0.992,-49.744,-13.367,-18.066
0.007,-1.191,0.954,-49.072,-13.672,6.226
-0.012,-1.166,0.990,-39.490,-10.742,31.067
-0.033,-0.980,0.988,-27.466,-5.310,54.871
-0.047,-0.661,0.965,-11.414,-2.258,71.472
-0.071,-0.447,0.931,4.883,-2.502,79.834
-0.073,-0.332,0.905,14.832,-3.723,86.975
-0.053,-0.279,0.944,14.648,-5.127,95.520
-0.086,-0.162,1.086,2.563,-6.836,104.980
-0.108,0.081,0.943,10.376,-5.859,112.488
-0.090,-0.305,0.953,-8.789,-9.216,117.126
-0.038,0.294,0.830,-21.606,-7.935,126.099
-0.194,0.528,0.876,5.798,-2.197,116.394
-0.203,0.093,1.339,-69.580,-3.906,107.239
-0.286,1.100,1.449,-74.097,4.761,106.628
-0.348,1.377,1.100,-26.001,14.709,80.200
-0.251,1.081,1.014,-31.555,9.827,62.622
-0.194,0.945,0.910,-28.076,15.930,55.908
-0.230,1.005,0.840,-34.851,14.343,40.710
-0.259,1.153,0.745,-36.865,13.428,18.494
-0.244,1.115,0.633,-44.495,9.399,-5.249
-0.235,1.162,0.655,-46.448,1.953,-26.123
-0.219,1.217,0.682,-34.058,-2.747,-48.950

0.042,0.615,0.918,-31.067,-7.568,-56.030
0.051,0.394,0.892,-39.246,-8.118,-69.946
0.062,0.266,0.906,-44.983,-7.324,-79.285
0.022,0.204,1.023,-46.631,-6.470,-85.388
0.011,0.478,0.993,-43.030,-2.869,-89.844
